frame,inference_ms,angle,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,327.4255999713205,176.86097792243703,352.35658407211304,94.64609026908875,0.8066267967224121,366.5903377532959,80.86760401725769,0.7999511361122131,364.4719076156616,81.03076815605164,0.7089254856109619,400.6339645385742,87.9905104637146,0.5963436365127563,397.14159965515137,86.79986715316772,0.8142160773277283,407.27794647216797,162.99794912338257,0.7623693346977234,401.1319971084595,160.68328857421875,0.8080939054489136,403.61915588378906,276.3141345977783,0.78202885389328,392.2103261947632,269.22486305236816,0.5416679978370667,373.9507484436035,367.0322370529175,0.7422114610671997,371.7830514907837,355.4686117172241,0.3761586546897888,388.67517471313477,339.3276786804199,0.7171227335929871,381.45724296569824,338.4598445892334,0.8058851957321167,377.4764156341553,497.01942443847656,0.5409371256828308,384.72310066223145,501.8905735015869,0.6477371454238892,395.0535535812378,642.4854469299316,0.39988014101982117,395.1151371002197,640.6242513656616,0.7076701521873474
1,22.42090000072494,177.0569298596813,352.2232675552368,94.858478307724,0.81446373462677,366.4414644241333,81.18342876434326,0.8086713552474976,364.3792963027954,81.28967642784119,0.7158918380737305,400.50483226776123,88.20398211479187,0.6032219529151917,397.07778453826904,86.88578367233276,0.8109419941902161,407.1669673919678,162.7270781993866,0.7593950033187866,398.29593658447266,158.03240776062012,0.6753302216529846,403.5486030578613,276.32570028305054,0.7785987257957458,396.4610481262207,268.4365940093994,0.6217014193534851,376.6747570037842,369.68672275543213,0.7245751023292542,371.3095235824585,355.7344722747803,0.40094512701034546,389.0246772766113,339.92883682250977,0.733305037021637,379.82173919677734,338.61013412475586,0.8058615326881409,378.40338706970215,498.4668302536011,0.6147111058235168,384.50629234313965,502.1742010116577,0.6187140345573425,395.70136070251465,643.1970691680908,0.43588903546333313,395.57501792907715,640.2398586273193,0.6717612743377686
2,19.825000024866313,176.97004998219347,352.19563007354736,94.83369469642639,0.814367949962616,366.45777225494385,81.15868806838989,0.810145914554596,364.4038438796997,81.26049935817719,0.7174671292304993,400.61070442199707,88.24754118919373,0.6035820841789246,397.22331047058105,86.8716162443161,0.81116783618927,407.3419761657715,162.67858386039734,0.7597190737724304,397.5771903991699,157.96554565429688,0.6712056994438171,403.6992359161377,276.3899874687195,0.7826335430145264,392.17676639556885,269.14954662323,0.5346370935440063,376.59905433654785,369.761266708374,0.7222403883934021,370.9308385848999,355.5543565750122,0.4101189076900482,389.48241233825684,340.0610589981079,0.7457098364830017,379.2435836791992,338.63099098205566,0.8076131343841553,378.6861562728882,498.67934703826904,0.6407099962234497,384.0585136413574,501.9903087615967,0.613910436630249,395.63355445861816,643.189902305603,0.44991543889045715,395.4630947113037,640.1687049865723,0.6626128554344177
3,19.23999999416992,176.958451032941,352.23103523254395,94.87977504730225,0.8148228526115417,366.4687156677246,81.2094783782959,0.8106064200401306,364.4362449645996,81.31462097167969,0.718716025352478,400.6410884857178,88.2421338558197,0.6055544018745422,397.2700023651123,86.89331531524658,0.8110688924789429,407.34609603881836,162.60267734527588,0.7593136429786682,397.7870464324951,157.9346466064453,0.6717859506607056,403.68361473083496,276.3372874259949,0.7828661799430847,392.2737979888916,269.13583517074585,0.5340732336044312,376.5621042251587,369.73045349121094,0.7216182947158813,370.9292507171631,355.54701805114746,0.41059908270835876,389.4747734069824,340.00932455062866,0.7442559599876404,379.28049087524414,338.5655879974365,0.807052493095398,378.8101387023926,498.7247085571289,0.6439743638038635,384.0211343765259,501.9330167770386,0.6124864220619202,395.5729579925537,643.2482671737671,0.45358413457870483,395.3788948059082,639.9707365036011,0.6587530374526978
4,20.273600006476045,176.8819228374609,352.2347044944763,94.86462593078613,0.8145945072174072,366.4751100540161,81.20430707931519,0.810605525970459,364.4365882873535,81.30461633205414,0.7186254262924194,400.6527614593506,88.25668752193451,0.6058815717697144,397.2604751586914,86.88489317893982,0.8111953735351562,407.3005199432373,162.63429522514343,0.7579392790794373,397.65589714050293,157.94687747955322,0.6706221103668213,403.6684226989746,276.3857173919678,0.7823825478553772,392.26959228515625,269.137122631073,0.5339104533195496,376.5701723098755,369.7471046447754,0.7211839556694031,370.9114408493042,355.4979658126831,0.41177457571029663,389.50464248657227,340.05449295043945,0.7458439469337463,379.193115234375,338.5556960105896,0.8073887228965759,378.92008781433105,498.814959526062,0.6476249098777771,383.8940620422363,501.89589500427246,0.608343780040741,395.62716007232666,643.3037567138672,0.45760348439216614,395.40494441986084,639.9403524398804,0.6547282338142395
5,22.46860001469031,176.92355741227794,352.22655057907104,94.87773656845093,0.8148218989372253,366.4697456359863,81.21072292327881,0.8105438351631165,364.4304084777832,81.31109654903412,0.7184053659439087,400.6473970413208,88.24309945106506,0.6055759191513062,397.25605487823486,86.8777745962143,0.8112764358520508,407.33983039855957,162.58574724197388,0.758873701095581,397.787389755249,157.92378902435303,0.6713681221008301,403.6520719528198,276.34366035461426,0.7824583649635315,392.3162841796875,269.1495895385742,0.5337977409362793,376.53133392333984,369.71534729003906,0.721562385559082,370.9465026855469,355.56212425231934,0.4104950726032257,389.45576190948486,339.99475479125977,0.743583083152771,379.3189859390259,338.55629682540894,0.8070828318595886,378.8012981414795,498.7484836578369,0.6432616114616394,384.0146541595459,501.95395946502686,0.6120009422302246,395.6173324584961,643.2736301422119,0.45342668890953064,395.4194927215576,640.008716583252,0.6599388718605042
6,19.630099995993078,176.88047903711006,352.234103679657,94.86747980117798,0.8146665096282959,366.47446632385254,81.2062919139862,0.8106309175491333,364.4354295730591,81.30712687969208,0.7185871005058289,400.6540060043335,88.25497090816498,0.6058676838874817,397.2605609893799,86.88547253608704,0.8111830949783325,407.31030464172363,162.62585163116455,0.7579740881919861,397.6652956008911,157.9395604133606,0.6704596281051636,403.66541862487793,276.38331413269043,0.7823925018310547,392.2687339782715,269.13928985595703,0.5339415073394775,376.55038833618164,369.7390365600586,0.7211774587631226,370.91654777526855,355.50981044769287,0.4118249714374542,389.4994926452637,340.04777669906616,0.7455466389656067,379.20058250427246,338.55696201324463,0.8073422908782959,378.915753364563,498.81255626678467,0.6473545432090759,383.9110565185547,501.91125869750977,0.6086786389350891,395.66471099853516,643.2879209518433,0.4564223885536194,395.4353713989258,639.9817657470703,0.6565314531326294
7,22.249499976169318,176.89375879991616,352.2256922721863,94.86667513847351,0.814724862575531,366.46056175231934,81.20362043380737,0.8103374242782593,364.42113876342773,81.30484700202942,0.7181187272071838,400.63782691955566,88.24254155158997,0.6054894328117371,397.24820137023926,86.87806963920593,0.8112726211547852,407.29283809661865,162.619446516037,0.7586859464645386,397.7706527709961,157.9423177242279,0.6717292070388794,403.6557197570801,276.3689589500427,0.782181441783905,392.3433208465576,269.15334463119507,0.5335490107536316,376.5551519393921,369.7290802001953,0.7217170000076294,370.94839096069336,355.52725553512573,0.4104372560977936,389.4607400894165,340.0353527069092,0.7444849610328674,379.31156158447266,338.5749864578247,0.807238757610321,378.83005142211914,498.7763786315918,0.6445925831794739,383.9753007888794,501.9539165496826,0.6110489964485168,395.6283187866211,643.2922124862671,0.45353034138679504,395.425500869751,640.0057125091553,0.6593914031982422
8,19.203900010325015,176.88549936852687,352.2340178489685,94.8673939704895,0.814670205116272,366.47472381591797,81.20618999004364,0.8106322884559631,364.4356441497803,81.30686402320862,0.7185896039009094,400.65396308898926,88.25501918792725,0.6058686375617981,397.2606897354126,86.88524723052979,0.8111904263496399,407.3092746734619,162.62368440628052,0.7579395174980164,397.6696300506592,157.93986082077026,0.6705241799354553,403.66859436035156,276.3814902305603,0.7824153900146484,392.27062225341797,269.1440963745117,0.5340158939361572,376.55725479125977,369.7372341156006,0.7214102745056152,370.9184789657593,355.51393032073975,0.4114871919155121,389.49228286743164,340.0413179397583,0.7453261017799377,379.2184352874756,338.55867862701416,0.8073663711547852,378.894681930542,498.79762172698975,0.6465921401977539,383.9227294921875,501.9258499145508,0.6092997789382935,395.64977645874023,643.2788228988647,0.4556475281715393,395.4288053512573,639.9905204772949,0.6569439172744751
9,15.194300038274378,176.89499094564974,352.2256922721863,94.86670732498169,0.8147251605987549,366.46056175231934,81.20365262031555,0.8103371858596802,364.42113876342773,81.30486845970154,0.7181186676025391,400.6378698348999,88.24256837368011,0.6054894328117371,397.24820137023926,86.87808036804199,0.8112717270851135,407.2927951812744,162.6195216178894,0.7586849331855774,397.7708673477173,157.94257521629333,0.6717360615730286,403.65580558776855,276.36887311935425,0.7821794748306274,392.34336376190186,269.15420293807983,0.5335602760314941,376.5556240081787,369.7288227081299,0.7217276096343994,370.9486484527588,355.5284571647644,0.41041243076324463,389.46013927459717,340.03498792648315,0.7444671988487244,379.3123769760132,338.5755228996277,0.8072363138198853,378.8290214538574,498.7763786315918,0.6445882320404053,383.9750003814697,501.95520401000977,0.6111003756523132,395.62458515167236,643.2902812957764,0.453542560338974,395.4211235046387,640.0055408477783,0.6593220829963684
