frame,inference_ms,angle,nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,nose_conf,left_eye_conf,right_eye_conf,left_ear_conf,right_ear_conf,left_shoulder_conf,right_shoulder_conf,left_elbow_conf,right_elbow_conf,left_wrist_conf,right_wrist_conf,left_hip_conf,right_hip_conf,left_knee_conf,right_knee_conf,left_ankle_conf,right_ankle_conf
0,20.012699998915195,82.55031985162191,387.271363735199,393.91038703918457,381.19437938928604,407.44960874319077,381.5570378303528,447.7432604432106,369.2959389090538,513.3164615631104,333.4588030576706,576.7391096353531,295.67927277088165,435.83323180675507,389.1499296426773,443.10660630464554,380.6323939561844,445.34667986631393,389.2187895178795,187.557190656662,177.46422362327576,179.0994810461998,172.004820227623,176.13510477542877,199.20176649093628,203.2263102531433,213.63781160116196,219.3275163769722,232.43178856372833,228.1222181916237,336.2701448202133,336.30555260181427,437.12495815753937,434.8017371892929,496.66567635536194,512.3101251125336,0.9999243021011353,0.9998860359191895,0.999695897102356,0.9999663829803467,0.9998306632041931,0.9999933838844299,0.9996479749679565,0.9998534321784973,0.8952488303184509,0.9991164803504944,0.9848043322563171,0.9963119626045227,0.9974255561828613,0.9617054462432861,0.9502010941505432,0.7058719396591187,0.9057983756065369
1,20.525300002191216,82.17667085853004,386.9936494231224,393.41129344701767,380.8897955417633,406.66921466588974,381.42972868680954,447.7388981580734,369.29631358385086,514.5989733934402,335.7415092587471,579.1102123260498,296.90170282125473,435.9110035896301,389.38308441638947,443.00795978307724,380.62688088417053,445.6573120355606,390.1975471377373,187.54634815454483,177.4684761762619,179.01868253946304,172.01662784814835,175.96477645635605,199.2094271183014,201.96987688541412,214.35741293430328,219.5658101439476,225.77865433692932,224.54367977380753,335.99098432064056,336.301993727684,435.7207108736038,434.00343346595764,495.1359033584595,508.79395747184753,0.9999290704727173,0.9998935461044312,0.999714195728302,0.9999683499336243,0.9998416900634766,0.9999937415122986,0.9996437430381775,0.9998608827590942,0.8979232907295227,0.9991799592971802,0.9853566288948059,0.9964933395385742,0.9975292086601257,0.9634622931480408,0.951066792011261,0.7218368053436279,0.9076664447784424
2,19.2370000295341,87.65578679621123,386.8303179740906,393.21314400434494,380.7923800945282,406.36679857969284,381.2658619880676,447.4117802977562,368.89958649873734,515.035790681839,333.47325479984283,583.3401837348938,290.0443511605263,435.96262842416763,389.46355921030045,442.8090877532959,380.73007702827454,445.79805594682693,391.2218545079231,187.1858915090561,177.32162737846375,178.58014178276062,172.01094269752502,175.59530198574066,198.48199927806854,201.23994576931,206.9168325662613,211.27934873104095,208.0449202656746,209.45770281553268,335.81376445293427,336.4434438943863,435.2216843366623,433.8419269323349,493.619189620018,505.31555008888245,0.9999357461929321,0.999903678894043,0.99974125623703,0.999971330165863,0.9998569488525391,0.9999942779541016,0.9996614456176758,0.999870777130127,0.9014592170715332,0.9992502331733704,0.9862439632415771,0.9967523813247681,0.9976982474327087,0.9653511047363281,0.9505188465118408,0.7381953001022339,0.9082233905792236
3,19.28190002217889,95.70164450911643,386.571872651577,392.64267486333847,380.7968226671219,405.2285633087158,381.33041310310364,446.70019257068634,368.46110993623734,516.1343371868134,325.2258328795433,585.3449615240097,283.0960070490837,435.88226068019867,389.46412122249603,442.8077496290207,380.73540276288986,446.10967832803726,391.1610233783722,186.52929431200027,176.96376448869705,178.10165417194366,171.98777985572815,175.44023460149765,197.50344461202621,200.9237186908722,196.0145986676216,197.94773083925247,188.34380739927292,192.80414736270905,335.7832124233246,336.52955055236816,434.8196521997452,433.82558023929596,493.02102732658386,504.4606662988663,0.9999379515647888,0.9999069571495056,0.999744713306427,0.9999720454216003,0.9998624324798584,0.9999945163726807,0.9996547102928162,0.9998772144317627,0.9079647064208984,0.9993082880973816,0.9866031408309937,0.9969831705093384,0.9978455901145935,0.966394305229187,0.9510682821273804,0.745957612991333,0.9069817066192627
4,19.241300004068762,101.7613664829407,385.852844953537,391.3093945980072,380.4770912528038,403.6004407405853,381.11631321907043,446.5063518881798,367.88729548454285,517.0167498588562,317.5319394469261,583.9781478643417,271.0183917284012,435.6091495156288,389.3305764198303,442.4653236269951,381.2502326965332,449.29112231731415,391.1204514503479,186.85508209466934,177.24937921762466,178.4908532500267,172.08937364816666,175.76407706737518,197.20186018943787,200.61191004514694,188.22104132175446,191.6561239361763,169.53702753782272,179.19367057085037,335.57872796058655,336.31420850753784,432.55436849594116,433.02703523635864,503.5051990747452,503.593537569046,0.99993497133255,0.9998941421508789,0.999713122844696,0.9999648928642273,0.999834418296814,0.9999925494194031,0.999631404876709,0.9998711943626404,0.9161205887794495,0.99931800365448,0.9862943887710571,0.9970685839653015,0.9978436231613159,0.9665250182151794,0.9526044726371765,0.7502565383911133,0.9036431908607483
5,19.874599995091558,105.56611929782208,383.89225202798843,389.3135554790497,379.84560364484787,401.4380586743355,381.0794880390167,446.5128551721573,367.51714354753494,516.5489416122437,311.9859228134155,578.8062975406647,264.21397626399994,435.5045081973076,389.01943576335907,441.4093027114868,381.38211822509766,449.07177698612213,391.0670067667961,186.92481189966202,177.39576053619385,178.60736113786697,172.14999514818192,175.8672844171524,196.414896607399,200.18071323633194,182.7638999223709,187.73724555969238,151.09699267148972,165.84700286388397,335.15389490127563,335.6876657009125,430.11228716373444,431.78076577186584,503.48692214488983,502.5261769294739,0.9999305605888367,0.9998760223388672,0.9996771216392517,0.9999550580978394,0.9998007416725159,0.9999879598617554,0.9996122121810913,0.9998692870140076,0.9240807890892029,0.9993389248847961,0.9868509769439697,0.9971155524253845,0.9978546500205994,0.9663174152374268,0.9544116854667664,0.7481969594955444,0.9007683992385864
6,19.850999990012497,109.02585562733124,381.59025007486343,387.3901624083519,378.74786001443863,400.2201514840126,380.9637938141823,446.48173040151596,366.9977907538414,516.4894218444824,308.06438905000687,564.1314632892609,260.11808490753174,434.91749984025955,388.1721622347832,439.98331719636917,381.5998310446739,447.2094023823738,390.60053664445877,186.95267969369888,177.49718844890594,178.71831959486008,172.247185587883,176.0803644657135,196.54313671588898,200.15097552537918,178.77214002609253,183.15148544311523,136.83288943767548,153.88624519109726,334.7630521059036,334.98385310173035,428.9506766796112,431.4600147008896,503.2908824682236,502.1391644477844,0.9999301433563232,0.9998676180839539,0.9996691942214966,0.9999493956565857,0.9997912049293518,0.9999752044677734,0.9995888471603394,0.9998605847358704,0.9313597083091736,0.9993334412574768,0.987421989440918,0.9970457553863525,0.9978042244911194,0.965776264667511,0.9560849070549011,0.7462010383605957,0.8977984189987183
7,20.569599990267307,112.53581051005236,381.44131684303284,387.4914851784706,378.3382601737976,400.4237337112427,380.60627377033234,446.3156691789627,366.2871664762497,513.0761879682541,304.68878322839737,546.1729791164398,259.0346592068672,433.6463353037834,386.71157282590866,438.5069646835327,381.671233355999,442.8463946580887,390.3014926314354,187.19186317920685,177.580022752285,178.88626527786255,172.33575028181076,176.3668839931488,196.92164409160614,200.20728415250778,176.14793783426285,179.90441995859146,127.32700091600418,143.53722018003464,334.76498234272003,334.9200346469879,429.55429792404175,431.57990050315857,502.8234635591507,501.7352925539017,0.9999336004257202,0.9998710751533508,0.9996870756149292,0.999949038028717,0.999803364276886,0.9999483823776245,0.9995824098587036,0.9998460412025452,0.9380161762237549,0.9992958903312683,0.9882131218910217,0.996932864189148,0.9977929592132568,0.9632933139801025,0.9560425877571106,0.7289386987686157,0.8901630640029907
8,19.9010000214912,115.0008961927376,381.6184309720993,387.6830778121948,378.0604655742645,400.5794378519058,380.1429080963135,446.1326405405998,365.80145412683487,507.6682389974594,305.04967534542084,525.604349732399,262.37630343437195,432.94636249542236,385.8491517305374,438.45748084783554,381.874226808548,443.00474828481674,389.9532859325409,188.581120967865,178.6362242102623,179.76952958106995,172.77018928527832,177.03004097938538,197.42944717407227,200.82360273599625,175.5836602449417,181.64700156450272,122.58627143502235,140.75326073169708,335.49817073345184,335.6109387874603,429.5890120267868,433.92308735847473,507.8897018432617,502.49104058742523,0.9999379515647888,0.9998776316642761,0.9997100830078125,0.9999502301216125,0.9998196363449097,0.9999290108680725,0.9996059536933899,0.9998145699501038,0.9440729022026062,0.9991817474365234,0.9891200661659241,0.9969052672386169,0.9978135228157043,0.9628248810768127,0.9572442770004272,0.7312960028648376,0.8862812519073486
9,19.84620001167059,114.5096665395754,381.6635257601738,387.4560248851776,378.0737932920456,399.207218170166,380.1147807240486,443.7725639939308,365.2556064724922,501.0586544275284,305.2904841899872,504.0153738260269,266.40705490112305,432.0695699453354,385.35219913721085,437.52127557992935,381.96489810943604,441.0382676124573,385.97185772657394,190.17347586154938,180.28206777572632,180.717698097229,173.56310945749283,177.47744876146317,197.72156137228012,201.25650358200073,177.24357342720032,184.01592993736267,119.9482710659504,141.99808251857758,335.9521383047104,335.8548423051834,429.9259589910507,435.19206726551056,510.1611080169678,511.9528503417969,0.9999178647994995,0.9998255372047424,0.9996607303619385,0.9999135136604309,0.9998068809509277,0.9998553991317749,0.9996017813682556,0.9997291564941406,0.9494174718856812,0.9986068606376648,0.9896047711372375,0.9966291785240173,0.9976649880409241,0.9598092436790466,0.9544363021850586,0.725553035736084,0.8724445104598999
