frame,inference_ms,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle
0,18.378099950496107,392.79663944244385,203.41045182943344,0.48288702964782715,389.2860436439514,198.74078673124313,0.4517013132572174,386.50507348775864,198.26629531383514,0.4377734065055847,401.4195925593376,204.85941123962402,0.4953482747077942,390.9140056371689,202.58112859725952,0.5129290223121643,403.8293135166168,222.30763614177704,0.441793829202652,407.14012736082077,220.47056341171265,0.3763062655925751,499.4273738861084,228.83551609516144,0.27804329991340637,494.76513481140137,231.31912767887115,0.3166298270225525,561.6750953197479,241.690652012825,0.3534250259399414,562.3456026315689,240.71850633621216,0.4779427945613861,414.4940034151077,290.19861912727356,0.5903484225273132,417.85240095853806,290.0754157304764,0.574310302734375,405.9369663000107,351.17558431625366,0.3418160378932953,396.9394721984863,350.1076204776764,0.33867692947387695,415.7518937587738,389.4744384288788,0.4335322082042694,409.1340663433075,389.26953172683716,0.33591437339782715,,74.19306601011435,,179.13954418723884
1,18.579600029625,390.6683795452118,201.3924344778061,0.3597794771194458,396.90082716941833,197.28267377614975,0.5284493565559387,385.63200092315674,196.48942184448242,0.35095736384391785,408.4642548561096,204.74033975601196,0.4393874406814575,385.50969636440277,202.46446990966797,0.5228084325790405,421.08884185552597,221.774664580822,0.5027288198471069,388.49842369556427,221.1560236811638,0.3445708155632019,511.61351108551025,224.74410772323608,0.4525240361690521,359.05524706840515,253.04071593284607,0.2068829983472824,560.5218462944031,229.4362570643425,0.22100569307804108,336.9569275379181,232.85844630002975,0.2506834864616394,425.42969024181366,291.3452099561691,0.6159144043922424,401.5173559188843,290.853994846344,0.5966524481773376,415.62578892707825,351.43489956855774,0.4058123230934143,387.2346188426018,347.00717759132385,0.41538354754447937,424.3777104616165,389.01190543174744,0.44878360629081726,399.8376352787018,388.0152397155762,0.31854483485221863,84.55088706283469,,,
2,17.85609999205917,396.2842195034027,198.37945544719696,0.4648993909358978,403.6906303167343,195.42706775665283,0.5181682705879211,391.0410203933716,194.02719366550446,0.4819622337818146,413.47844737768173,203.25484156608582,0.5253121852874756,380.1000345945358,201.8303720355034,0.519882082939148,433.8840932250023,219.5478800535202,0.5491800308227539,368.2706145644188,218.57054686546326,0.4253832995891571,515.2790081501007,221.32134544849396,0.3985486924648285,346.90762108564377,231.55772304534912,0.20751434564590454,557.4685678482056,219.2778429389,0.2696819305419922,359.3644073009491,220.8867405653,0.20047172904014587,436.451659321785,291.67781388759613,0.6977972388267517,389.0273574590683,290.50049006938934,0.6546831727027893,432.1076797246933,356.1264909505844,0.5357054471969604,381.01972740888596,347.9354405403137,0.41364988684654236,432.0955830812454,388.57476711273193,0.4543687701225281,390.52161407470703,387.99949622154236,0.4513346552848816,86.71315102241782,,,
3,17.48270000098273,391.02664893865585,201.1522707939148,0.3745521306991577,394.9570678472519,197.53515779972076,0.4789808392524719,389.70145094394684,195.91200959682465,0.44378089904785156,406.0705111026764,204.6423048377037,0.3967606723308563,386.66754853725433,201.64615505933762,0.4878441095352173,420.0161746740341,220.47838991880417,0.5087454915046692,389.5740615129471,218.61299699544907,0.317758172750473,509.8206921815872,217.29259437322617,0.4192606806755066,363.99319326877594,228.85971945524216,0.12437152117490768,582.6777586936951,209.11030542850494,0.36774006485939026,369.37743067741394,215.46343863010406,0.1471661478281021,425.8882921934128,292.87260031700134,0.5916005969047546,403.63871109485626,292.16634476184845,0.5883517265319824,422.77819699048996,358.9890019893646,0.4238946735858917,392.9337168931961,353.90309941768646,0.4430203139781952,427.0458767414093,389.06800293922424,0.3966135084629059,401.7884598970413,388.7325338125229,0.2912483215332031,87.39441825379303,,175.62389067038458,
4,17.88440003292635,389.8520702123642,203.20176005363464,0.39167752861976624,399.7307994365692,198.39112734794617,0.493618369102478,389.6346517801285,199.6775095462799,0.4644518792629242,409.90375542640686,204.70304697752,0.5377381443977356,378.97681307792664,203.72458279132843,0.5824734568595886,441.0488120317459,216.8856612443924,0.691069483757019,363.4847595691681,215.77922838926315,0.7375810742378235,509.89316499233246,214.48070681095123,0.5183549523353577,302.5250630378723,212.90276837348938,0.3431728780269623,577.6566346883774,200.1894143819809,0.6012685894966125,266.1385736465454,197.56751942634583,0.5558403730392456,438.4366863965988,292.46441555023193,0.726436197757721,390.2525440454483,291.6731994152069,0.7179200649261475,437.3649023771286,358.9309139251709,0.5598312616348267,387.25327229499817,353.03518652915955,0.5893025994300842,435.1706461906433,386.7133854627609,0.4046218693256378,391.3511440753937,389.58280313014984,0.43710246682167053,93.98016023503705,112.12930294460294,170.09157261463474,159.8483612302032
5,15.684399986639619,389.7255639433861,202.5612531900406,0.3543921113014221,400.1175173521042,199.02169650793076,0.5161821246147156,389.7754492163658,200.13895678520203,0.4419079124927521,409.80631321668625,205.69748085737228,0.5197425484657288,380.0193724632263,205.11420249938965,0.6391327977180481,441.8348262310028,217.13274663686752,0.7481994032859802,362.5158237814903,217.48949360847473,0.8072515726089478,504.68887853622437,212.96902978420258,0.6610972881317139,308.01851814985275,214.86790025234222,0.4018036127090454,568.2305661439896,190.39659917354584,0.6795060634613037,266.32069236040115,196.7644805908203,0.6745964288711548,437.21819043159485,293.95498061180115,0.7100101709365845,389.10705614089966,294.30534875392914,0.6154578924179077,433.75346553325653,358.5004107952118,0.5062140226364136,384.872749209404,354.4303255081177,0.6128280162811279,434.37403404712677,385.39765763282776,0.4534757137298584,394.706142783165,387.3621561527252,0.46330779790878296,97.22903272472095,111.84833463435369,164.23299760655257,159.28565882019598
6,16.16749999811873,388.62134379148483,201.9583557844162,0.3305083215236664,399.50072234869003,198.34208726882935,0.5334608554840088,385.96091187000275,198.44944161176682,0.5038893818855286,410.5615505576134,205.79075050354004,0.5098773837089539,379.1887719631195,205.48185229301453,0.6345726251602173,446.10825991630554,217.98408663272858,0.7725825905799866,361.3478018641472,218.6764384508133,0.745951771736145,514.2359135150909,208.3554772734642,0.7994674444198608,301.47035348415375,211.52270936965942,0.5338830947875977,556.7715656757355,183.58618080615997,0.5450460910797119,258.2671914100647,191.21762841939926,0.7415549159049988,438.8343769311905,297.2369260787964,0.667464554309845,390.8187579512596,297.19011783599854,0.6697671413421631,435.9758223295212,355.95593643188477,0.5017458200454712,381.08984512090683,350.27160012722015,0.5030723810195923,437.41173672676086,383.9000954627991,0.4925486743450165,390.8691517114639,386.35360741615295,0.5178893804550171,103.2883973710567,117.38716237306735,157.83140681463246,161.6399121845767
7,16.01900003151968,388.9428950548172,201.58147704601288,0.3119196593761444,399.6224381327629,198.23622584342957,0.5303864479064941,386.79282373189926,198.12222123146057,0.5200720429420471,410.77599835395813,205.832160115242,0.5012946128845215,379.62047761678696,205.30877941846848,0.630669891834259,444.8552403450012,218.65387880802155,0.762388288974762,360.5056667327881,219.10253822803497,0.7009478807449341,506.02421951293945,211.0110005736351,0.6749854683876038,298.02904576063156,207.22542917728424,0.6388764977455139,536.244257569313,183.42490047216415,0.6254936456680298,252.4329160451889,185.6191725730896,0.8073327541351318,434.485098361969,298.4997835159302,0.6131148934364319,389.92467683553696,300.80352115631104,0.7672281861305237,435.5832166671753,359.09953820705414,0.46485739946365356,382.85742700099945,355.9590730667114,0.5605430603027344,437.05750846862793,383.7386794090271,0.46173590421676636,396.20136284828186,386.3095135688782,0.4576495289802551,104.52200286304311,120.56677410016114,144.7309032943171,165.40928733977742
8,16.86820003669709,389.57834351062775,201.90388691425323,0.3597300946712494,399.4349133968353,198.87879866361618,0.5131367444992065,389.624963760376,200.31121534109116,0.43415769934654236,410.0993089079857,205.98039627075195,0.5058744549751282,379.6898459792137,206.13970112800598,0.6543509364128113,443.3132929801941,218.2923514842987,0.7309282422065735,359.1627787351608,218.55474305152893,0.716644287109375,502.5591734647751,207.30223149061203,0.49740171432495117,304.6516904234886,208.75411641597748,0.6096371412277222,519.3283863067627,174.33009207248688,0.3705112934112549,261.6182560324669,183.73722183704376,0.6442463994026184,432.8394998908043,297.44249629974365,0.6140843629837036,387.63934791088104,298.2938212156296,0.6170262694358826,434.20039904117584,360.05195927619934,0.4466683566570282,379.9223584532738,357.3858196735382,0.5361050367355347,434.56225460767746,384.67786026000977,0.42031213641166687,394.77444064617157,387.03829860687256,0.45628687739372253,108.04697386041875,119.84515617633329,127.46623662352033,160.02140978928747
9,18.495799973607063,387.02691519260406,200.2428276538849,0.26488447189331055,395.5354586839676,196.46417796611786,0.5486422181129456,384.71126437187195,196.63513964414597,0.5749323964118958,410.4703440070152,206.04463696479797,0.5331813097000122,378.695325255394,206.08600133657455,0.6158726811408997,445.750231385231,219.89339244365692,0.6976116895675659,357.5441300868988,219.02632403373718,0.6835398077964783,504.18718898296356,201.99788039922714,0.7114414572715759,305.14917826652527,214.45303505659103,0.5853527188301086,501.1833140850067,166.7682385444641,0.6590703725814819,270.09942150115967,185.96438336372375,0.7812307476997375,432.0663852095604,296.61026263237,0.6017245054244995,385.88474583625793,297.3590135574341,0.629510223865509,431.40644907951355,357.86672008037567,0.3889263868331909,373.8542592525482,352.001424074173,0.443951815366745,433.5971190929413,382.0613639354706,0.397905558347702,388.83490842580795,384.6545466184616,0.4531058073043823,117.13986878707686,114.87844060142832,102.15291612622045,145.8839974350697
