frame,inference_ms,angle,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,117.22760001430288,71.36721257745505,357.35617876052856,96.16410255432129,0.9999017715454102,368.55942249298096,82.46801912784576,0.9998916387557983,365.47895908355713,81.50926351547241,0.9998421669006348,390.3202486038208,87.27985382080078,0.9999178647994995,386.5515947341919,86.40899419784546,0.9998040795326233,414.56475734710693,164.2097818851471,0.9999871253967285,401.209716796875,166.7746925354004,0.9978336691856384,411.39331340789795,268.8975477218628,0.9948617815971375,390.67859172821045,266.65828943252563,0.04416506364941597,386.30423069000244,356.2711715698242,0.9900824427604675,369.02204990386963,342.2227692604065,0.07870399206876755,393.30041885375977,346.4903783798218,0.9997722506523132,374.24742221832275,338.84432315826416,0.9989907145500183,384.47680950164795,495.84723472595215,0.9971899390220642,236.80747032165527,310.0699496269226,0.9027366638183594,397.3768186569214,643.501296043396,0.9974888563156128,253.35105657577515,448.64087104797363,0.8004650473594666
1,21.423299971502274,71.17375109943363,357.321138381958,96.06712460517883,0.9999083876609802,368.4133815765381,82.67944157123566,0.9998994469642639,365.2940368652344,81.86820209026337,0.9998525381088257,390.3031253814697,87.2754979133606,0.9999241232872009,386.3422107696533,86.42014145851135,0.9998155236244202,414.372239112854,163.76957774162292,0.9999880194664001,406.61674976348877,166.04230999946594,0.9979035258293152,410.5601978302002,269.0193843841553,0.9950593709945679,391.6817808151245,267.1738529205322,0.042503248900175095,384.4456958770752,356.51154041290283,0.990358829498291,369.80302333831787,342.32909202575684,0.07512588053941727,391.4690923690796,346.1290955543518,0.9997861385345459,376.05475902557373,340.0925374031067,0.9990438222885132,384.92265701293945,497.75100231170654,0.9973847270011902,237.5082778930664,309.8532700538635,0.9074676632881165,397.02834606170654,645.2860164642334,0.997670590877533,253.3552622795105,448.6408281326294,0.8135572671890259
2,21.45649999147281,71.68070281795816,357.18520402908325,95.76957106590271,0.999915599822998,368.24708461761475,82.67002165317535,0.9999076724052429,365.1984643936157,81.87214493751526,0.9998640418052673,390.22489070892334,87.17747390270233,0.9999306201934814,386.2413167953491,86.39047086238861,0.9998295903205872,414.1198968887329,163.4833323955536,0.999988853931427,408.56995582580566,165.7464623451233,0.9980183243751526,410.06139278411865,269.09030199050903,0.9952659010887146,392.395076751709,267.7626943588257,0.04134329408407211,383.54108333587646,356.76366806030273,0.9905974864959717,370.6688404083252,342.64926195144653,0.07233558595180511,390.21875381469727,345.66827058792114,0.9997996687889099,377.69524097442627,341.0216975212097,0.9991011023521423,384.212064743042,497.7177858352661,0.9975565671920776,239.74223613739014,309.8727321624756,0.910728931427002,396.87732696533203,645.7351684570312,0.9978278279304504,253.33751678466797,448.63739490509033,0.8252055644989014
3,21.7926999903284,71.95162113828394,357.0587110519409,95.48864722251892,0.999921977519989,368.07289123535156,82.64308154582977,0.9999150037765503,365.05860328674316,81.86575055122375,0.9998741745948792,390.1389741897583,87.13081419467926,0.9999364018440247,386.0602140426636,86.37651801109314,0.9998419284820557,413.9705514907837,163.35368514060974,0.9999896287918091,409.3112325668335,165.5839204788208,0.9981197118759155,409.75712299346924,269.1807460784912,0.9954577684402466,392.8590774536133,268.17039012908936,0.04021591320633888,382.95743465423584,357.02420711517334,0.990840494632721,371.28119945526123,342.81497955322266,0.06982824206352234,389.6194839477539,345.4298973083496,0.9998123645782471,378.4616231918335,341.58989667892456,0.9991545677185059,383.63614082336426,497.70057678222656,0.9977171421051025,240.99506378173828,309.8782253265381,0.913794219493866,396.8065595626831,646.1083173751831,0.9979768395423889,253.2736587524414,448.59829902648926,0.8360480666160583
4,20.869500003755093,72.07312334551347,357.01873540878296,95.30827403068542,0.9999277591705322,368.00148010253906,82.63976097106934,0.9999216198921204,364.9405860900879,81.86720430850983,0.9998832941055298,390.1125383377075,87.1094959974289,0.9999416470527649,385.8876943588257,86.3749623298645,0.9998529553413391,413.87497901916504,163.28769207000732,0.9999903440475464,409.607949256897,165.49016118049622,0.9982112646102905,409.5687675476074,269.24209356307983,0.9956392645835876,393.1381130218506,268.4822988510132,0.03914777189493179,382.5433874130249,357.24172353744507,0.9910838603973389,371.4574098587036,342.87866592407227,0.06758487969636917,389.198956489563,345.23276567459106,0.9998241662979126,378.8702201843262,341.9877862930298,0.9992040991783142,383.23410987854004,497.63174057006836,0.997864842414856,241.68018579483032,309.8905634880066,0.9167811870574951,396.7963457107544,646.4378643035889,0.9981147646903992,253.22042226791382,448.5175323486328,0.8462123870849609
5,21.099200006574392,71.96129426570178,357.0165681838989,95.26083111763,0.9999328851699829,367.9731559753418,82.65441656112671,0.9999274611473083,364.8772430419922,81.89736843109131,0.9998912811279297,390.1049852371216,87.10783302783966,0.9999462962150574,385.7568025588989,86.37857258319855,0.9998624324798584,413.82030487060547,163.23331832885742,0.9999909996986389,409.9277114868164,165.40319323539734,0.998285710811615,409.4316530227661,269.3103289604187,0.9958045482635498,393.3937168121338,268.7059736251831,0.0380733460187912,382.2140121459961,357.4712562561035,0.9913339018821716,371.87763690948486,342.9597759246826,0.06541906297206879,389.0110731124878,345.1578140258789,0.9998348951339722,379.2669725418091,342.33977794647217,0.9992486238479614,383.02481174468994,497.57019996643066,0.9979982376098633,241.65967226028442,309.821298122406,0.9197685718536377,396.75480365753174,646.7271137237549,0.9982407689094543,253.15911769866943,448.42238903045654,0.8554996252059937
6,22.518399986438453,72.02487085004138,357.01332807540894,95.21244406700134,0.9999378323554993,367.9368495941162,82.65251755714417,0.9999330043792725,364.8410654067993,81.89816236495972,0.9998990297317505,390.0798797607422,87.08533465862274,0.999950647354126,385.6599426269531,86.37100338935852,0.9998719096183777,413.8080310821533,163.1712305545807,0.9999915957450867,410.1576089859009,165.30579686164856,0.9983724355697632,409.3584394454956,269.35030460357666,0.9959710836410522,393.56868267059326,268.8189697265625,0.03725995868444443,382.0428657531738,357.6771855354309,0.9915719628334045,372.0931577682495,343.0289554595947,0.06381402164697647,388.82447719573975,345.06146907806396,0.9998449683189392,379.50159072875977,342.54815340042114,0.9992935061454773,382.89846897125244,497.558913230896,0.9981163144111633,241.97385549545288,309.85039472579956,0.9223617315292358,396.5092420578003,646.9915151596069,0.998352587223053,253.11654567718506,448.3065605163574,0.8643239736557007
7,20.64309996785596,72.03354045205897,357.01120376586914,95.18681287765503,0.9999426007270813,367.9143190383911,82.6520025730133,0.9999383091926575,364.8223114013672,81.90045833587646,0.9999065399169922,390.0673484802246,87.06061542034149,0.9999547600746155,385.6146240234375,86.3630747795105,0.9998812675476074,413.7985897064209,163.14595341682434,0.9999921917915344,410.28111934661865,165.2483868598938,0.9984626770019531,409.3035936355591,269.3877911567688,0.9961270093917847,393.7131357192993,268.91791105270386,0.03673243522644043,381.9320583343506,357.8450918197632,0.9917817115783691,372.2832727432251,343.1188416481018,0.06272177398204803,388.6593818664551,345.00351190567017,0.999854326248169,379.67029094696045,342.74670124053955,0.9993371367454529,378.5075855255127,495.9352970123291,0.9982165098190308,242.12457418441772,309.8695135116577,0.9246418476104736,396.31560802459717,647.1336078643799,0.9984487891197205,253.07442426681519,448.27686309814453,0.872518002986908
8,22.864400001708418,72.06120686536958,357.00897216796875,95.1575767993927,0.999947190284729,367.88968563079834,82.64832258224487,0.9999433755874634,364.80329990386963,81.90060317516327,0.9999138116836548,390.0472640991211,87.02503323554993,0.9999586343765259,385.5771589279175,86.3471531867981,0.9998904466629028,413.7784194946289,163.13237071037292,0.9999927282333374,410.3123617172241,165.2150523662567,0.9985529184341431,409.27316665649414,269.42609310150146,0.9962694048881531,393.8370752334595,269.0303921699524,0.03651873767375946,381.86240673065186,357.9870343208313,0.9919511079788208,372.31159687042236,343.17999601364136,0.0621037483215332,388.49737644195557,344.97209787368774,0.9998626112937927,379.80427265167236,342.94544219970703,0.9993773698806763,376.73157691955566,494.54020500183105,0.9982978701591492,242.19727277755737,310.06383419036865,0.9264421463012695,396.20402812957764,647.1897411346436,0.998526930809021,253.07193517684937,448.2458782196045,0.8798597455024719
9,21.28919999813661,72.0649300438768,357.00079679489136,95.13601183891296,0.9999513626098633,367.84462451934814,82.64776468276978,0.9999479651451111,364.76630687713623,81.90203011035919,0.9999205470085144,390.01288890838623,87.00534582138062,0.9999621510505676,385.52969455718994,86.33948743343353,0.9998989105224609,413.75224113464355,163.12950611114502,0.9999932050704956,410.30789852142334,165.2004075050354,0.9986379742622375,409.2411947250366,269.47866439819336,0.996396005153656,393.928484916687,269.1272521018982,0.03646627441048622,381.7994499206543,358.1050729751587,0.992082953453064,372.34824657440186,343.2348847389221,0.06171707063913345,388.365797996521,344.96121883392334,0.9998698234558105,379.9105739593506,343.1224465370178,0.9994133114814758,375.9141683578491,493.7283754348755,0.9983678460121155,242.2428059577942,310.19968271255493,0.9279610514640808,396.13029956817627,647.2321844100952,0.9985935688018799,253.06921005249023,448.2060956954956,0.8864830732345581
