frame,inference_ms,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle
0,20.012699998915195,387.271363735199,187.557190656662,0.9999243021011353,393.91038703918457,177.46422362327576,0.9998860359191895,381.19437938928604,179.0994810461998,0.999695897102356,407.44960874319077,172.004820227623,0.9999663829803467,381.5570378303528,176.13510477542877,0.9998306632041931,447.7432604432106,199.20176649093628,0.9999933838844299,369.2959389090538,203.2263102531433,0.9996479749679565,513.3164615631104,213.63781160116196,0.9998534321784973,333.4588030576706,219.3275163769722,0.8952488303184509,576.7391096353531,232.43178856372833,0.9991164803504944,295.67927277088165,228.1222181916237,0.9848043322563171,435.83323180675507,336.2701448202133,0.9963119626045227,389.1499296426773,336.30555260181427,0.9974255561828613,443.10660630464554,437.12495815753937,0.9617054462432861,380.6323939561844,434.8017371892929,0.9502010941505432,445.34667986631393,496.66567635536194,0.7058719396591187,389.2187895178795,512.3101251125336,0.9057983756065369,82.55031985162191,74.2915030261413,175.9096134739407,168.91067643162327
1,20.525300002191216,386.9936494231224,187.54634815454483,0.9999290704727173,393.41129344701767,177.4684761762619,0.9998935461044312,380.8897955417633,179.01868253946304,0.999714195728302,406.66921466588974,172.01662784814835,0.9999683499336243,381.42972868680954,175.96477645635605,0.9998416900634766,447.7388981580734,199.2094271183014,0.9999937415122986,369.29631358385086,201.96987688541412,0.9996437430381775,514.5989733934402,214.35741293430328,0.9998608827590942,335.7415092587471,219.5658101439476,0.8979232907295227,579.1102123260498,225.77865433692932,0.9991799592971802,296.90170282125473,224.54367977380753,0.9853566288948059,435.9110035896301,335.99098432064056,0.9964933395385742,389.38308441638947,336.301993727684,0.9975292086601257,443.00795978307724,435.7207108736038,0.9634622931480408,380.62688088417053,434.00343346595764,0.951066792011261,445.6573120355606,495.1359033584595,0.7218368053436279,390.1975471377373,508.79395747184753,0.9076664447784424,82.17667085853004,70.83222406108636,177.2741983213746,159.63120735736965
2,19.2370000295341,386.8303179740906,187.1858915090561,0.9999357461929321,393.21314400434494,177.32162737846375,0.999903678894043,380.7923800945282,178.58014178276062,0.99974125623703,406.36679857969284,172.01094269752502,0.999971330165863,381.2658619880676,175.59530198574066,0.9998569488525391,447.4117802977562,198.48199927806854,0.9999942779541016,368.89958649873734,201.23994576931,0.9996614456176758,515.035790681839,206.9168325662613,0.999870777130127,333.47325479984283,211.27934873104095,0.9014592170715332,583.3401837348938,208.0449202656746,0.9992502331733704,290.0443511605263,209.45770281553268,0.9862439632415771,435.96262842416763,335.81376445293427,0.9967523813247681,389.46355921030045,336.4434438943863,0.9976982474327087,442.8090877532959,435.2216843366623,0.9653511047363281,380.73007702827454,433.8419269323349,0.9505188465118408,445.79805594682693,493.619189620018,0.7381953001022339,391.2218545079231,505.31555008888245,0.9082233905792236,87.65578679621123,82.82610233159042,173.8363284116797,161.77600758845347
3,19.28190002217889,386.571872651577,186.52929431200027,0.9999379515647888,392.64267486333847,176.96376448869705,0.9999069571495056,380.7968226671219,178.10165417194366,0.999744713306427,405.2285633087158,171.98777985572815,0.9999720454216003,381.33041310310364,175.44023460149765,0.9998624324798584,446.70019257068634,197.50344461202621,0.9999945163726807,368.46110993623734,200.9237186908722,0.9996547102928162,516.1343371868134,196.0145986676216,0.9998772144317627,325.2258328795433,197.94773083925247,0.9079647064208984,585.3449615240097,188.34380739927292,0.9993082880973816,283.0960070490837,192.80414736270905,0.9866031408309937,435.88226068019867,335.7832124233246,0.9969831705093384,389.46412122249603,336.52955055236816,0.9978455901145935,442.8077496290207,434.8196521997452,0.966394305229187,380.73540276288986,433.82558023929596,0.9510682821273804,446.10967832803726,493.02102732658386,0.745957612991333,391.1610233783722,504.4606662988663,0.9069817066192627,95.70164450911643,102.74177065836491,174.90395348069558,176.97686573962363
4,19.241300004068762,385.852844953537,186.85508209466934,0.99993497133255,391.3093945980072,177.24937921762466,0.9998941421508789,380.4770912528038,178.4908532500267,0.999713122844696,403.6004407405853,172.08937364816666,0.9999648928642273,381.11631321907043,175.76407706737518,0.999834418296814,446.5063518881798,197.20186018943787,0.9999925494194031,367.88729548454285,200.61191004514694,0.999631404876709,517.0167498588562,188.22104132175446,0.9998711943626404,317.5319394469261,191.6561239361763,0.9161205887794495,583.9781478643417,169.53702753782272,0.99931800365448,271.0183917284012,179.19367057085037,0.9862943887710571,435.6091495156288,335.57872796058655,0.9970685839653015,389.3305764198303,336.31420850753784,0.9978436231613159,442.4653236269951,432.55436849594116,0.9665250182151794,381.2502326965332,433.02703523635864,0.9526044726371765,449.29112231731415,503.5051990747452,0.7502565383911133,391.1204514503479,503.593537569046,0.9036431908607483,101.7613664829407,109.0641698034816,171.66808829730235,175.08563982406946
5,19.874599995091558,383.89225202798843,186.92481189966202,0.9999305605888367,389.3135554790497,177.39576053619385,0.9998760223388672,379.84560364484787,178.60736113786697,0.9996771216392517,401.4380586743355,172.14999514818192,0.9999550580978394,381.0794880390167,175.8672844171524,0.9998007416725159,446.5128551721573,196.414896607399,0.9999879598617554,367.51714354753494,200.18071323633194,0.9996122121810913,516.5489416122437,182.7638999223709,0.9998692870140076,311.9859228134155,187.73724555969238,0.9240807890892029,578.8062975406647,151.09699267148972,0.9993389248847961,264.21397626399994,165.84700286388397,0.9868509769439697,435.5045081973076,335.15389490127563,0.9971155524253845,389.01943576335907,335.6876657009125,0.9978546500205994,441.4093027114868,430.11228716373444,0.9663174152374268,381.38211822509766,431.78076577186584,0.9544116854667664,449.07177698612213,503.48692214488983,0.7481969594955444,391.0670067667961,502.5261769294739,0.9007683992385864,105.56611929782208,111.64677200687301,164.06950098016,168.0118545678627
6,19.850999990012497,381.59025007486343,186.95267969369888,0.9999301433563232,387.3901624083519,177.49718844890594,0.9998676180839539,378.74786001443863,178.71831959486008,0.9996691942214966,400.2201514840126,172.247185587883,0.9999493956565857,380.9637938141823,176.0803644657135,0.9997912049293518,446.48173040151596,196.54313671588898,0.9999752044677734,366.9977907538414,200.15097552537918,0.9995888471603394,516.4894218444824,178.77214002609253,0.9998605847358704,308.06438905000687,183.15148544311523,0.9313597083091736,564.1314632892609,136.83288943767548,0.9993334412574768,260.11808490753174,153.88624519109726,0.987421989440918,434.91749984025955,334.7630521059036,0.9970457553863525,388.1721622347832,334.98385310173035,0.9978042244911194,439.98331719636917,428.9506766796112,0.965776264667511,381.5998310446739,431.4600147008896,0.9560849070549011,447.2094023823738,503.2908824682236,0.7462010383605957,390.60053664445877,502.1391644477844,0.8977984189987183,109.02585562733124,115.01526946889675,152.8858803970078,164.691480447901
7,20.569599990267307,381.44131684303284,187.19186317920685,0.9999336004257202,387.4914851784706,177.580022752285,0.9998710751533508,378.3382601737976,178.88626527786255,0.9996870756149292,400.4237337112427,172.33575028181076,0.999949038028717,380.60627377033234,176.3668839931488,0.999803364276886,446.3156691789627,196.92164409160614,0.9999483823776245,366.2871664762497,200.20728415250778,0.9995824098587036,513.0761879682541,176.14793783426285,0.9998460412025452,304.68878322839737,179.90441995859146,0.9380161762237549,546.1729791164398,127.32700091600418,0.9992958903312683,259.0346592068672,143.53722018003464,0.9882131218910217,433.6463353037834,334.76498234272003,0.996932864189148,386.71157282590866,334.9200346469879,0.9977929592132568,438.5069646835327,429.55429792404175,0.9632933139801025,381.671233355999,431.57990050315857,0.9560425877571106,442.8463946580887,502.8234635591507,0.7289386987686157,390.3014926314354,501.7352925539017,0.8901630640029907,112.53581051005236,116.86346360409973,141.41865810679403,159.70209595952667
8,19.9010000214912,381.6184309720993,188.581120967865,0.9999379515647888,387.6830778121948,178.6362242102623,0.9998776316642761,378.0604655742645,179.76952958106995,0.9997100830078125,400.5794378519058,172.77018928527832,0.9999502301216125,380.1429080963135,177.03004097938538,0.9998196363449097,446.1326405405998,197.42944717407227,0.9999290108680725,365.80145412683487,200.82360273599625,0.9996059536933899,507.6682389974594,175.5836602449417,0.9998145699501038,305.04967534542084,181.64700156450272,0.9440729022026062,525.604349732399,122.58627143502235,0.9991817474365234,262.37630343437195,140.75326073169708,0.9891200661659241,432.94636249542236,335.49817073345184,0.9969052672386169,385.8491517305374,335.6109387874603,0.9978135228157043,438.45748084783554,429.5890120267868,0.9628248810768127,381.874226808548,433.92308735847473,0.9572442770004272,443.00474828481674,507.8897018432617,0.7312960028648376,389.9532859325409,502.49104058742523,0.8862812519073486,115.0008961927376,115.97847179403907,128.24295917614873,153.73853747372152
9,19.84620001167059,381.6635257601738,190.17347586154938,0.9999178647994995,387.4560248851776,180.28206777572632,0.9998255372047424,378.0737932920456,180.717698097229,0.9996607303619385,399.207218170166,173.56310945749283,0.9999135136604309,380.1147807240486,177.47744876146317,0.9998068809509277,443.7725639939308,197.72156137228012,0.9998553991317749,365.2556064724922,201.25650358200073,0.9996017813682556,501.0586544275284,177.24357342720032,0.9997291564941406,305.2904841899872,184.01592993736267,0.9494174718856812,504.0153738260269,119.9482710659504,0.9986068606376648,266.40705490112305,141.99808251857758,0.9896047711372375,432.0695699453354,335.9521383047104,0.9966291785240173,385.35219913721085,335.8548423051834,0.9976649880409241,437.52127557992935,429.9259589910507,0.9598092436790466,381.96489810943604,435.19206726551056,0.9544363021850586,441.0382676124573,510.1611080169678,0.725553035736084,385.97185772657394,511.9528503417969,0.8724445104598999,114.5096665395754,114.53245246288681,112.6245066364491,148.82173056904216
