frame,inference_ms,angle,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,112.7268000273034,55.97007271297024,385.3454014658928,186.49254441261292,0.9984877109527588,392.8124828338623,176.9079082608223,0.9980893731117249,382.13138753175735,178.25605803728104,0.9958558678627014,405.8893826007843,175.21163725852966,0.9986659288406372,382.92692917585373,176.45136201381683,0.9965740442276001,447.56183755397797,202.6672352552414,0.9992691874504089,372.0588711500168,209.0343325138092,0.9978049397468567,507.7565551996231,223.40205025672913,0.9953011274337769,342.59744250774384,235.61913734674454,0.9236330389976501,569.4826757907867,243.5253119468689,0.9755051732063293,308.44267678260803,246.48623490333557,0.9067318439483643,436.3125479221344,340.48909962177277,0.9954772591590881,390.5834889411926,340.3135687112808,0.9934442043304443,442.00599908828735,433.8743488788605,0.9074698090553284,378.8799864053726,429.8406364917755,0.9352129101753235,440.5999516248703,496.47005891799927,0.7927166223526001,385.6924306154251,503.9515964984894,0.8340592980384827
1,14.102099987212569,69.49196221930413,385.353055536747,186.5721214413643,0.9985237717628479,392.7390733361244,176.78422230482101,0.9981211423873901,381.99219584465027,178.32222896814346,0.9959508180618286,405.83607172966003,174.25208336114883,0.9986848831176758,382.5140910744667,176.44536018371582,0.996635377407074,446.87511217594147,200.42395323514938,0.9992740154266357,369.78574591875076,208.43048506975174,0.9976798295974731,510.07804024219513,215.28128761053085,0.9954206943511963,332.9157387018204,228.9332795739174,0.9249171018600464,576.4023305177689,228.01794016361237,0.9761837720870972,300.0508712530136,228.0983465909958,0.9092553853988647,435.64428865909576,339.1782275438309,0.9956650137901306,389.5949630141258,339.8834878206253,0.9936513304710388,440.1193776726723,433.389799118042,0.908656895160675,380.2305819988251,430.0917180776596,0.9319901466369629,440.90978091955185,496.6603983640671,0.7956036329269409,388.5681934952736,503.87915229797363,0.8304163217544556
2,14.367999974638224,92.07695573557893,385.75208419561386,186.79544079303741,0.9986061453819275,392.92807000875473,176.71218526363373,0.9982122182846069,381.9834980368614,178.52013856172562,0.99620521068573,405.8833878040314,173.41078662872314,0.9987444281578064,381.50469040870667,176.46636658906937,0.9968443512916565,445.7551289200783,198.57618880271912,0.9992565512657166,367.095179438591,207.4778227210045,0.9975883364677429,512.8639614582062,205.39275979995728,0.99544358253479,326.6417289376259,212.73269641399384,0.9281570911407471,581.9998649358749,206.44493490457535,0.9770286679267883,287.33157181739807,204.93582147359848,0.9130064845085144,435.53702461719513,337.0772854089737,0.9959344267845154,389.09142684936523,339.23025345802307,0.993969738483429,439.1516194343567,426.9447685480118,0.9090465307235718,381.8924520611763,429.41369223594666,0.926609456539154,440.5404586195946,495.6377046108246,0.8010444045066833,390.73255598545074,501.7842421531677,0.8260844945907593
3,15.33899997593835,105.2516225496167,385.49663627147675,187.25486731529236,0.998687744140625,392.2087479233742,176.7219118475914,0.9982993006706238,381.34713965654373,179.09361493587494,0.9964349269866943,405.63251626491547,172.84423196315765,0.9987947344779968,380.571910738945,176.891636967659,0.997035026550293,445.5836884379387,197.74564409255981,0.999176025390625,366.9737580418587,206.02387183904648,0.9974371790885925,516.0860576629639,195.6488037109375,0.9954533576965332,319.5177961587906,201.25629246234894,0.9319537281990051,586.2710505723953,188.42653614282608,0.9779471158981323,280.74527060985565,193.28171509504318,0.9180103540420532,435.181672334671,335.00348722934723,0.9960415959358215,388.9807639718056,337.32486844062805,0.9940724968910217,438.7240887284279,423.4660294055939,0.9068272113800049,383.11217910051346,426.28302907943726,0.9208709597587585,440.33133655786514,490.05808365345,0.8058587908744812,393.22414338588715,497.4673579931259,0.8241450786590576
4,13.74200003920123,109.93819277156175,385.1325594186783,187.39138633012772,0.9986638426780701,391.11697232723236,176.7288637161255,0.9980915784835815,380.8529435992241,179.296455681324,0.996292769908905,404.6834917664528,172.61328214406967,0.9985011219978333,379.9218232035637,176.98339861631393,0.9968253970146179,444.91596442461014,196.6060956120491,0.9989887475967407,366.40114790201187,203.755828499794,0.9973006248474121,517.795912861824,188.15386003255844,0.9954197406768799,313.93602484464645,194.1726400256157,0.9372445940971375,585.2835683822632,166.43881648778915,0.9790329337120056,267.76517075300217,177.22709101438522,0.9244948029518127,434.6848803162575,334.12761211395264,0.9957637786865234,388.72983890771866,335.9567527770996,0.993937075138092,438.38607853651047,421.44989705085754,0.9033129811286926,383.5451425909996,425.0921936035156,0.9140492081642151,440.8228831291199,488.66767978668213,0.8099273443222046,394.20354330539703,494.4109787940979,0.8236573338508606
5,14.062699978239834,113.38104259469151,385.13432574272156,188.1015928387642,0.998666524887085,390.9514998793602,177.0518315434456,0.9979642629623413,380.71538442373276,179.7730884552002,0.9963046312332153,404.48012363910675,172.65068048238754,0.9983118772506714,379.56424963474274,177.23170548677444,0.9968209862709045,444.3287954926491,196.9057196378708,0.9987898468971252,365.1962205171585,203.11137068271637,0.9972527027130127,516.9965709447861,182.12778133153915,0.9953286647796631,310.36700654029846,189.70335763692856,0.9423797726631165,584.8035029172897,148.8041427731514,0.9800312519073486,260.1715295910835,164.94490367174149,0.9307084083557129,433.92755550146103,334.267192363739,0.9955464005470276,387.7447921037674,335.8694095611572,0.9938570857048035,438.3494942188263,420.7960594892502,0.8987824320793152,383.92768555879593,422.90469241142273,0.9077204465866089,441.50679844617844,487.930691242218,0.8103801608085632,394.38156735897064,491.5139647722244,0.8216550946235657
6,14.374400023370981,117.68717075977916,385.7086486816406,189.96075773239136,0.9987026453018188,391.32001930475235,178.50572210550308,0.9979575276374817,380.7208172082901,181.2452861070633,0.9964458346366882,404.6311978697777,173.2118666768074,0.9982732534408569,379.1622503399849,178.4305785894394,0.9969545006752014,443.5809713602066,197.0298429131508,0.998652994632721,364.25131744146347,202.97182059288025,0.9972458481788635,516.112659573555,179.29150944948196,0.9952765703201294,309.5888337492943,185.39095222949982,0.946958601474762,564.661146402359,137.5516312122345,0.9809332489967346,259.68881464004517,152.2679527401924,0.9362459778785706,433.43247628211975,334.502259016037,0.9955645203590393,387.3598137497902,335.95250022411346,0.9940184950828552,438.3289138674736,422.019859790802,0.8981491923332214,383.87440145015717,423.16494262218475,0.9061771035194397,442.3325816988945,488.47758162021637,0.8104324340820312,394.4942106604576,492.40971529483795,0.8204454779624939
7,13.848799979314208,119.92648749583142,386.2051730751991,191.0869453549385,0.9987775087356567,392.1888098716736,179.72691357135773,0.9980464577674866,380.8052796125412,182.3810344338417,0.9966808557510376,405.3019460439682,173.87301802635193,0.998327910900116,379.0734256505966,179.62346494197845,0.9971661567687988,443.3618668913841,197.16545712947845,0.9986057877540588,363.2153951525688,203.1204337477684,0.9973416328430176,511.6152774095535,177.84398263692856,0.9952518343925476,307.37873417139053,182.71075809001923,0.9513747096061707,545.7544673681259,126.49606412649155,0.9819386601448059,260.02851086854935,143.0045803785324,0.9415268898010254,432.50446033477783,334.67308497428894,0.9957983493804932,386.28645074367523,336.02527618408203,0.9943753480911255,438.31055480241776,422.7027715444565,0.9000908136367798,383.766843020916,423.69313383102417,0.9076566696166992,442.7852156162262,488.7269139289856,0.8115948438644409,394.4475904107094,491.474032998085,0.81898033618927
8,13.641999976243824,119.7349427345588,388.2380247116089,190.97343838214874,0.998870849609375,394.10382628440857,179.76173323392868,0.9981821775436401,382.13847959041595,182.54804515838623,0.9969404339790344,405.35051995515823,174.58602941036224,0.9984301328659058,379.301442027092,180.24135184288025,0.9973914623260498,443.3638205528259,198.41698950529099,0.9986358284950256,362.95371156930923,203.73041874170303,0.9974216818809509,503.7598991394043,177.83108925819397,0.9953983426094055,308.23189544677734,183.90473020076752,0.9553998112678528,526.1318383216858,121.42923772335052,0.9831485748291016,263.6359601020813,141.2126269340515,0.946444034576416,431.5439814925194,334.7987011671066,0.9961065649986267,385.94793206453323,336.58296382427216,0.994792640209198,437.6065943837166,423.15652799606323,0.9017007350921631,383.88778269290924,424.5742266178131,0.9096172451972961,442.4397654533386,488.4070978164673,0.8132628202438354,395.0776060819626,490.28600239753723,0.8181539177894592
9,13.974200002849102,117.988846197173,389.7211213707924,191.6021677851677,0.9989311695098877,395.4160712361336,180.75686079263687,0.9982579946517944,383.3376262784004,183.6337279677391,0.9971010088920593,405.6263073682785,176.32108610868454,0.9984726309776306,379.45671796798706,181.6229640841484,0.9975274205207825,442.5478858947754,199.4083772301674,0.9986743927001953,362.93837666511536,204.37455987930298,0.9974470734596252,495.1231633424759,179.01418870687485,0.9955888986587524,309.1537827849388,186.60565930604935,0.958855926990509,500.8749567270279,120.86605343222618,0.9843388795852661,267.57165122032166,142.37419217824936,0.9507319927215576,430.68495923280716,335.4520561695099,0.996370255947113,385.7762507200241,337.88677847385406,0.9951481223106384,436.85197257995605,423.6926814317703,0.9010602235794067,383.834685921669,426.7412793636322,0.9097210764884949,440.7992786169052,488.8196859359741,0.8115898370742798,395.59321212768555,490.63205766677856,0.8149281144142151
