frame,inference_ms,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
0,20.300600037444383,61.56915776692546,57.52476164493384,173.81462344812604,164.09010835650204,123.40177330643654,99.19215465054343,102.89456889319737,88.08989285159502,364.90908098220825,204.06978130340576,0.9997407793998718,368.8994870185852,195.21574091911316,0.999582827091217,368.2020959854126,194.7419494986534,0.999437153339386,361.0391483306885,185.05768078565598,0.9994342923164368,358.4705910682678,185.1442649960518,0.9995215535163879,335.77724170684814,185.76984232664108,0.9996910691261292,329.35378885269165,193.33031916618347,0.999235987663269,378.16739559173584,210.29156482219696,0.7039891481399536,369.1828660964966,217.59593588113785,0.8438830971717834,422.417444229126,229.86632025241852,0.6924821138381958,413.0071511268616,229.70148545503616,0.7697749137878418,333.9777731895447,249.49267292022705,0.9993031024932861,330.4887204170227,251.19461250305176,0.9989588856697083,300.877818107605,270.002902507782,0.8923429846763611,250.6596236228943,265.72474789619446,0.9576154947280884,321.78188371658325,331.09465861320496,0.9067956209182739,276.5982484817505,385.4336440563202,0.955533504486084
1,20.536100026220083,82.39016818263256,82.7721670830963,176.2586028834403,169.1063944255111,177.0924857763068,166.70414901993777,169.52844808598746,149.28687997078674,357.46892070770264,206.37863659858704,0.9933960437774658,360.0452618598938,198.45620983839035,0.9916442632675171,360.057493686676,197.8029962182045,0.9909238219261169,352.6456890106201,191.52316224575043,0.9866104125976562,350.60481882095337,191.8264206647873,0.9848688840866089,325.28465938568115,191.72848278284073,0.9993271231651306,315.915762424469,197.31500202417374,0.9983915090560913,369.48216676712036,213.50425499677658,0.6493947505950928,369.18410444259644,221.53692775964737,0.8233017325401306,416.1718330383301,232.83202177286148,0.6461403965950012,413.9991421699524,232.34439796209335,0.7420942783355713,306.11056327819824,248.63979423046112,0.998857319355011,299.3980197906494,250.59558880329132,0.9987725615501404,288.3486113548279,293.669367313385,0.8052075505256653,273.2258529663086,294.9916070699692,0.9016842246055603,274.0979518890381,366.6071197986603,0.8266818523406982,273.5440320968628,389.40654587745667,0.897318422794342
2,18.913200008682907,91.15796284748653,98.79606863295383,173.71829144916416,167.07320421718168,155.53688509804022,165.26144329523888,174.33958187887984,157.65058938247685,360.01531410217285,208.26774793863297,0.9890204668045044,362.3204321861267,200.4926055073738,0.9861138463020325,361.00255393981934,201.14996457099915,0.9850886464118958,354.6455421447754,193.59237957000732,0.9798030853271484,351.20518922805786,195.3133369088173,0.9763032793998718,325.56055784225464,190.71539908647537,0.9981927871704102,319.33963775634766,203.55994874238968,0.9969173669815063,368.81694746017456,214.0145149230957,0.6038592457771301,373.01350021362305,227.2848201394081,0.8290868997573853,418.96895360946655,234.30418127775192,0.5951439738273621,421.52548122406006,236.64392083883286,0.7377812266349792,290.5799341201782,252.6288219690323,0.9983208775520325,283.6255593299866,259.3135275840759,0.998173713684082,286.0445547103882,304.4370925426483,0.728076159954071,265.8404326438904,314.36467456817627,0.8732818365097046,273.5559606552124,370.7631334066391,0.7558249831199646,271.8204312324524,391.28213822841644,0.8729261159896851
3,18.788599991239607,108.39824815632232,115.7444272994306,172.10495954264687,165.7036958809293,128.1026970462624,121.19405725024879,173.0151910570257,176.08263463575346,360.02458906173706,209.1606707572937,0.9899733066558838,363.0775671005249,202.36227172613144,0.9872445464134216,362.3483328819275,202.75913739204407,0.9863740801811218,354.4044437408447,194.63077753782272,0.9813946485519409,352.98107862472534,195.67087072134018,0.978293240070343,321.4379014968872,194.819502055645,0.998084545135498,318.5715346336365,204.74392157793045,0.9968377351760864,368.7604384422302,217.55563533306122,0.5780380964279175,373.67705154418945,228.19540739059448,0.8433256149291992,415.7172336578369,232.601928293705,0.5792285203933716,420.6546711921692,235.43187010288239,0.7570145726203918,261.4146342277527,256.84480917453766,0.9983003735542297,252.69215393066406,262.42147052288055,0.9981427788734436,270.3062119483948,321.4439808130264,0.6680335402488708,264.29224729537964,328.1541004180908,0.8797474503517151,271.11826372146606,376.0320632457733,0.7105827331542969,271.14368772506714,392.3622328042984,0.880632221698761
4,18.698400002904236,109.60423289854376,116.84904732470719,164.77492973738273,163.2076418543754,121.5421905989684,115.04195178337578,171.17232573312467,173.97904389089203,357.81429290771484,215.0788254737854,0.9908859133720398,362.14900970458984,208.6862952709198,0.9883703589439392,361.9295697212219,207.74602037668228,0.9876084327697754,354.60912466049194,199.3459131717682,0.9830271601676941,353.79343366622925,197.8149054646492,0.9802677035331726,318.2483263015747,198.41162139177322,0.9980771541595459,320.14473962783813,204.49327182769775,0.9970632195472717,366.8237409591675,222.81594663858414,0.5539959669113159,375.59823179244995,229.83741611242294,0.8563676476478577,415.12530422210693,232.59905070066452,0.5615447163581848,424.386869430542,236.4943144917488,0.7762388586997986,252.54289531707764,261.24670028686523,0.998377799987793,244.7217288017273,264.67881405353546,0.9982371926307678,266.21691513061523,324.6061706542969,0.6086905598640442,261.62800884246826,334.84504556655884,0.8862680792808533,269.49292182922363,380.5572634935379,0.6564547419548035,269.9734001159668,398.01288533210754,0.8879767060279846
5,19.29799997014925,108.43121599085856,116.88161846840578,161.6083181119894,163.253076047872,120.1706846795439,112.86971399273278,169.68359385560697,171.90776511501883,358.58664178848267,216.11145401000977,0.9917691349983215,362.38641834259033,210.28519707918167,0.9894899129867554,361.96899461746216,209.52199387550354,0.988817036151886,356.0192975997925,200.9054118990898,0.9846503138542175,354.8385977745056,201.1104475259781,0.9821967482566833,325.9103274345398,197.78396421670914,0.9981400966644287,323.4949712753296,205.16457724571228,0.9973241686820984,370.88245820999146,223.43598246574402,0.5520970821380615,375.18619108200073,230.2552654147148,0.8701261878013611,417.2549057006836,232.70941066741943,0.5611460208892822,423.303569316864,238.00101935863495,0.7965120077133179,254.4256362915039,261.8524478673935,0.998445987701416,243.7897596359253,265.72258257865906,0.9983599781990051,267.316490650177,324.1123642921448,0.5841964483261108,261.78128576278687,336.01423156261444,0.8970341086387634,268.7154426574707,382.1274321079254,0.6449575424194336,268.8408694267273,400.3223389387131,0.8987079858779907
6,18.46550003392622,109.92225339330498,118.30601105457932,158.56887171262375,161.05426375523896,118.65144855354498,111.3452822326615,171.0886614546139,173.46342277145652,358.48315143585205,218.52552664279938,0.9925249814987183,362.6593852043152,212.8777517080307,0.9904435276985168,361.9335880279541,212.82121127843857,0.9898645877838135,356.0606179237366,203.74108040332794,0.9860057234764099,354.88067626953125,204.34974831342697,0.9838830232620239,327.11096715927124,199.4345914721489,0.9981207251548767,325.7041049003601,206.4008026123047,0.9975329637527466,372.4166932106018,225.89927333593369,0.5406458377838135,374.83002758026123,231.0266170501709,0.8824059367179871,418.1191701889038,233.02306830883026,0.5563429594039917,423.6896047592163,237.613527238369,0.8147668838500977,253.68176937103271,260.5853382349014,0.9985030293464661,243.20351648330688,264.319371342659,0.9984613656997681,266.2711749076843,324.5438038110733,0.5637053847312927,260.8494176864624,336.56852436065674,0.9065925478935242,268.59757232666016,384.4409314393997,0.6340281367301941,269.02457427978516,401.38650703430176,0.9082481861114502
7,19.39879998099059,111.09038760231537,116.76837853719651,153.62638052670363,156.1344141270528,117.18227726316256,110.57660734481853,174.07751892947147,174.24975467378624,358.6811099052429,217.25904381275177,0.9930586218833923,362.54881858825684,212.1266429424286,0.9911056160926819,361.952365398407,211.67252457141876,0.9906447529792786,356.3098793029785,203.4532641172409,0.986879289150238,355.0472717285156,203.3008798956871,0.9852051734924316,326.57463693618774,202.76463615894318,0.9979824423789978,326.406044960022,204.6600297689438,0.9977203011512756,369.91151905059814,229.2457858324051,0.5216587781906128,374.6555724143982,231.0320730805397,0.8931259512901306,417.7046022415161,233.47214376926422,0.5450989007949829,423.4868698120117,235.12772846221924,0.8301630020141602,252.12612867355347,259.8547714948654,0.9985226392745972,241.31011056900024,263.3016721010208,0.9985308051109314,264.1036901473999,325.76188039779663,0.5438767671585083,259.54811811447144,336.4772676229477,0.9150450825691223,268.69709491729736,385.76385498046875,0.6200575232505798,268.9974570274353,401.68987941741943,0.9166530966758728
8,19.39129998208955,113.93281185111753,118.32853282627,155.4378024058708,156.5250654540081,118.07026464789729,109.31321544212915,177.21230850360266,174.3555647526967,357.79056215286255,219.34756380319595,0.9935861229896545,361.9566617012024,214.96668481826782,0.9918032884597778,361.62177753448486,214.47728031873703,0.991418719291687,356.4502673149109,206.05540597438812,0.9877620935440063,355.4602475166321,205.91646951436996,0.9865030646324158,327.2945456504822,204.7725977897644,0.9980124235153198,326.8573589324951,204.83050578832626,0.9979163408279419,370.85427951812744,229.57733583450317,0.497134268283844,374.7167568206787,230.3404678106308,0.903300940990448,417.27901554107666,233.71802127361298,0.5341121554374695,422.84133768081665,234.19855082035065,0.8455163836479187,253.00575876235962,259.5594050884247,0.9985660910606384,240.09476232528687,262.5038380622864,0.9986189603805542,262.67562437057495,325.5381689071655,0.5316250920295715,258.4695692062378,334.59215927124023,0.9232596755027771,268.7486000061035,388.03407645225525,0.6250025033950806,268.66378593444824,401.56058716773987,0.9247811436653137
9,18.538499949499965,117.88360250219988,120.15075316126044,156.13658667677979,157.0807262763674,115.60307857038566,106.98233421962145,175.46089847742363,172.12641177979617,357.0474534034729,220.42844188213348,0.9941104054450989,361.1676330566406,215.72303593158722,0.9924917817115784,360.9367952346802,215.1737860441208,0.9921768307685852,355.48900747299194,207.19154238700867,0.9886259436607361,354.6293931007385,206.8050474524498,0.9877380728721619,328.6975665092468,207.48658114671707,0.9980370402336121,325.9264006614685,205.10293692350388,0.9980960488319397,372.96224784851074,231.33400666713715,0.47782406210899353,374.60088300704956,230.28795886039734,0.9125725030899048,417.6539058685303,234.81206220388412,0.5322899222373962,423.26917362213135,234.06572568416595,0.8600737452507019,253.17819213867188,258.048127412796,0.9986369013786316,237.98085498809814,261.11190927028656,0.9987203478813171,262.8541989326477,325.195592880249,0.5394320487976074,258.15578746795654,333.81560802459717,0.9308051466941833,266.8790512084961,388.10308170318604,0.6417566537857056,267.2287702560425,401.49460196495056,0.9322104454040527
